"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geodata_center";"geoarea";
"7";"«Дербеневская наб.», 3-й Дербеневский переулок (7)";"37.6551636";"55.72566817";"3-й Дербеневский переулок";"Южный административный округ";"Даниловский район";"А632; А13";"Дербеневская наб.";"";"да";"ГУП «Мосгортранс»";"активна";"889076457";"{""coordinates"":[37.6551636,55.72566817],""type"":""Point""}";"";
"11";"«Набережная Тараса Шевченко», набережная Тараса Шевченко (11)";"37.57240854";"55.74944352";"набережная Тараса Шевченко";"Западный административный округ";"район Дорогомилово";"А205; А622";"Набережная Тараса Шевченко";"";"да";"ГУП «Мосгортранс»";"активна";"889076459";"{""coordinates"":[37.57240854,55.74944352],""type"":""Point""}";"";
"27";"«ВКНЦ», 3-я Черепковская улица (27)";"37.37550932";"55.7572642";"3-я Черепковская улица";"Западный административный округ";"район Кунцево";"А816; А660; А798";"ВКНЦ";"";"да";"ГУП «Мосгортранс»";"активна";"889076461";"{""coordinates"":[37.37550932,55.7572642],""type"":""Point""}";"";
"33";"«Новосущевская ул.», улица Сущёвский Вал (33)";"37.60337594";"55.79289095";"улица Сущёвский Вал";"Северо-Восточный административный округ";"район Марьина Роща";"А126; А84; АТ18; АТ42";"Новосущевская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076463";"{""coordinates"":[37.60337594,55.79289095],""type"":""Point""}";"";
"35";"«Керамический пр.», Дубнинская улица (35)";"37.55724554";"55.89460802";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А677; А167; А677К; А499";"Керамический пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889076464";"{""coordinates"":[37.55724554,55.89460802],""type"":""Point""}";"";
"36";"«Ин-т Стали», Дубнинская улица (36)";"37.55729147";"55.89142924";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А677; А167; А677К; А499";"Ин-т Стали";"";"да";"ГУП «Мосгортранс»";"активна";"889076465";"{""coordinates"":[37.55729147,55.89142924],""type"":""Point""}";"";
"37";"«Мкр. Дубки», Дубнинская улица (37)";"37.55730686";"55.88768746";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А677; А167; А677К; А499";"Мкр. Дубки";"";"да";"ГУП «Мосгортранс»";"активна";"889076466";"{""coordinates"":[37.55730686,55.88768746],""type"":""Point""}";"";
"38";"«Д/к Юность», Дубнинская улица (38)";"37.5573643949";"55.8833589241";"Дубнинская улица";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А677; А167; А677К; А499";"Д/к Юность";"";"да";"ГУП «Мосгортранс»";"активна";"889076467";"{""coordinates"":[37.5573643949,55.8833589241],""type"":""Point""}";"";
"39";"«Баскетбольная школа», улица 800-летия Москвы (39)";"37.55636146";"55.88011364";"улица 800-летия Москвы";"Северный административный округ";"район Восточное Дегунино";"А799; А179; А748; А857; А149; А167; А499";"Баскетбольная школа";"";"да";"ГУП «Мосгортранс»";"активна";"889076469";"{""coordinates"":[37.55636146,55.88011364],""type"":""Point""}";"";
"40";"«Ул. 800-летия Москвы», Дмитровское шоссе (40)";"37.54599654";"55.87767168";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А563; А63; А763; АТ36; АТ78";"Ул. 800-летия Москвы";"";"да";"ГУП «Мосгортранс»";"активна";"889076470";"{""coordinates"":[37.54599654,55.87767168],""type"":""Point""}";"";
"41";"«Бескудниково», Дмитровское шоссе (41)";"37.54704248";"55.87458982";"Дмитровское шоссе";"Северный административный округ";"Бескудниковский район";"А179; А563; А63; А763; АТ36; АТ78";"Бескудниково";"";"да";"ГУП «Мосгортранс»";"активна";"889076471";"{""coordinates"":[37.54704248,55.87458982],""type"":""Point""}";"";
"43";"«Парк Святослава Федорова», Дмитровское шоссе (43)";"37.5484894912";"55.8633348164";"Дмитровское шоссе";"Северный административный округ";"район Западное Дегунино";"А179; А563; А763; АТ78; А591; А194; А215; АТ36; АТ56";"Парк Святослава Федорова";"";"да";"ГУП «Мосгортранс»";"активна";"889076473";"{""coordinates"":[37.5484894912,55.8633348164],""type"":""Point""}";"";
"44";"«Ильменский пр.», Дмитровское шоссе (44)";"37.55318989";"55.86077256";"Дмитровское шоссе";"Северный административный округ";"район Западное Дегунино";"А179; А563; А763; АТ78; А591; А194; А215; АТ36; АТ56";"Ильменский пр.";"";"да";"ГУП «Мосгортранс»";"активна";"889076475";"{""coordinates"":[37.55318989,55.86077256],""type"":""Point""}";"";
"45";"«Метро Верхние Лихоборы - Северный вестибюль», Дмитровское шоссе (45)";"37.5582614716";"55.8582121735";"Дмитровское шоссе";"Северный административный округ";"район Западное Дегунино";"А179; А563; А763; АТ78; А591; А194; А215; АТ36; АТ56";"Метро Верхние Лихоборы - Северный вестибюль";"";"да";"ГУП «Мосгортранс»";"активна";"889076476";"{""coordinates"":[37.5582614716,55.8582121735],""type"":""Point""}";"";
"48";"«Метро Петровско-Разумовская», Локомотивный проезд (48)";"37.57585651";"55.83716907";"Локомотивный проезд";"Северный административный округ";"Тимирязевский район";"А114; А282; А204; А300; АТ19";"Метро Петровско-Разумовская";"";"да";"ГУП «Мосгортранс»";"активна";"889076479";"{""coordinates"":[37.57585651,55.83716907],""type"":""Point""}";"";
"49";"«Михалковская ул.», Большая Академическая улица (49)";"37.53956854";"55.8371443498";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А179; А114; А282; А204; А300; А591; А323; АТ19; АТ57";"Михалковская ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889076480";"{""coordinates"":[37.53956854,55.8371443498],""type"":""Point""}";"";
"50";"«Стадион Наука», Большая Академическая улица (50)";"37.5328525";"55.83295208";"Большая Академическая улица";"Северный административный округ";"район Коптево";"А179; А114; А282; А204; А591; А323; АТ19; АТ57";"Стадион Наука";"";"да";"ГУП «Мосгортранс»";"активна";"889076481";"{""coordinates"":[37.5328525,55.83295208],""type"":""Point""}";"";
