name_bulding,name_stop,distance
FreeDom,"«Карамышевская наб., 1», Карамышевская набережная (16052)",363.54911097
FreeDom,"«5-й автобусный парк», Звенигородское шоссе (16510)",485.72353307
FreeDom,"«5-й автобусный парк», 2-й Силикатный проезд (15862)",494.9777365
FreeDom,"«5-й автобусный парк», улица Мнёвники (15569)",526.75586617
FreeDom,"«Улица Мясищева», Филёвский бульвар (8644)",580.33800698
FreeDom,"«Ул. Мясищева», Филёвский бульвар (2376)",603.81018474
FreeDom,"«2-й Силикатный пр.», 1-й Силикатный проезд (1559)",673.18674204
FreeDom,"«Филевский бульв., 2», Филёвский бульвар (2375)",680.58083025
FreeDom,"«Новофилёвский пр.», Новофилёвский проезд (2368)",683.87527014
FreeDom,"«Ул. Демьяна Бедного», Карамышевская набережная (14523)",684.97147508
FreeDom,"«Новофилёвский пр.», Новофилёвский проезд (2377)",687.96774577
FreeDom,"«2-й Силикатный пр.», 1-й Силикатный проезд (1000873)",697.53805196
FreeDom,"«2-й Силикатный пр.», 1-й Силикатный проезд (1600)",713.71106084
FreeDom,"«Филевский бульв., 2», Филёвский бульвар (2369)",722.0911145
FreeDom,"«ул. Мневники, 4», улица Мнёвники (15969)",728.23244126
FreeDom,"«МЖК Атом», улица Мнёвники (747)",735.91177261
FreeDom,"«ул. Мневники, 4», улица Мнёвники (17124)",790.87293115
FreeDom,"«Силикатный з-д (пос.)», 1-й Силикатный проезд (16995)",804.23678584
FreeDom,"«Силикатный з-д (выс.)», 1-й Силикатный проезд (16994)",819.24037648
FreeDom,"«Силикатный з-д (к/ст)», 1-й Силикатный проезд (16996)",830.40316387
FreeDom,"«Ул. Шеногина», 1-й Силикатный проезд (1599)",866.25524297
FreeDom,"«Ул. Шеногина», 1-й Силикатный проезд (1767)",873.49350651
FreeDom,"«Поликлиника № 115», улица Мнёвники (1099)",889.87484005
FreeDom,"«Поликлиника № 115», улица Мнёвники (15403)",895.95752254
FreeDom,"«Универсам», Филёвский бульвар (2370)",911.23778605
FreeDom,"«Сквер Марш. Жукова», проспект Маршала Жукова (1724)",911.46950825
FreeDom,"«Просп. Марш. Жукова, 14», проспект Маршала Жукова (1661)",925.09230603
FreeDom,"«Сквер Марш. Жукова», проспект Маршала Жукова (1733)",950.39717594
FreeDom,"«Просп. Марш. Жукова, 14», проспект Маршала Жукова (1683)",985.16731702
Сердце столицы,"«Ул. Шеногина», 1-й Силикатный проезд (1767)",200.80657653
Сердце столицы,"«Ул. Шеногина», 1-й Силикатный проезд (1599)",222.0464946
Сердце столицы,"«1-й Магистральный пр.», 3-я Магистральная улица (1596)",507.66380617
Сердце столицы,"«Причальный пр.», Причальный проезд (1663)",518.52416687
Сердце столицы,"«Причальный пр.», Причальный проезд (8226)",533.42019562
Сердце столицы,"«1-й Магистральный пр.», 3-я Магистральная улица (1562)",546.81915618
Сердце столицы,"«Романовская школа», Шелепихинская набережная (1681)",548.02169874
Сердце столицы,"«2-й Силикатный пр.», 1-й Силикатный проезд (1559)",567.99850364
Сердце столицы,"«Романовская школа», Шелепихинская набережная (1664)",591.38466448
Сердце столицы,"«Новофилёвский пр.», Новофилёвский проезд (2368)",611.81338781
Сердце столицы,"«Ст. Пресня», 3-я Магистральная улица (1563)",622.69940954
Сердце столицы,"«4-я Магистральная ул.», 3-я Магистральная улица (1594)",623.89448368
Сердце столицы,"«Новофилёвский пр.», Новофилёвский проезд (2377)",637.0014178
Сердце столицы,"«2-й Силикатный пр.», 1-й Силикатный проезд (1600)",651.50484392
Сердце столицы,"«2-й Силикатный пр.», 1-й Силикатный проезд (1000873)",663.21432901
Сердце столицы,"«Шелепихинское ш.», Шелепихинское шоссе (1560)",664.17865181
Сердце столицы,"«Шелепихинское ш.», Шелепихинское шоссе (1598)",682.2195743
Сердце столицы,"«Мост Окружной ж.д.», 3-я Магистральная улица (1561)",723.48728301
Сердце столицы,"«Силикатный з-д (выс.)», 1-й Силикатный проезд (16994)",752.95157309
Сердце столицы,"«Силикатный з-д (пос.)», 1-й Силикатный проезд (16995)",784.3405865
Сердце столицы,"«Метро Шелепиха», Шелепихинское шоссе (1002174)",816.89464175
Сердце столицы,"«Силикатный з-д (к/ст)», 1-й Силикатный проезд (16996)",840.88204562
